Main Author,Year,Type of Approach,No Additional Sensing,Earphone Type,Development Stage,On-Device Processing,Active Interaction,Learning Method,Number of Authentication Stages,Continuous / One-Time,Accuracy (BAC),Discreetness of Authentication,Robustness of Authentication,Resistance against Attacks,Registration Time,Authentication Time,Accuracy Evaluations,Usability Evaluations,Feasibility Evaluations,Responsiveness Evaluations,Noise Level Evaluations,Moving State Evaluations,Wearing Angle Evaluations,Evaluations of Different Settings,Threat Models Evaluations,Motivations,Keywords,Abstract,ID,Study Link,Title,Authors,Venue,BAC,Sensors
Sun et al.,2023,Shape-Based,Yes,Earbud,Research Prototype,No,No,MLP,1,One-Time,High,High,Medium,,,,Yes,Yes,Yes,No,Yes,Yes,Yes,Lab/Controlled Room,No,"System Extension, Performance Optimization",,"Earphones are emerging as the most popular wearable devices and there has been a growing trend in bringing intelligence to earphones. Previous efforts include adding extra sensors (e.g., accelerometer and gyroscope) or peripheral hardware to make earphones smart. These methods are usually complex in design and also incur additional cost. In this paper, we present Earmonitor, a low-cost system that uses the in-ear earphones to achieve sensing purposes. The basic idea behind Earmonitor is that each person's ear canal varies in size and shape. We therefore can extract the unique features from the ear canal-reflected signals to depict the personalized differences in ear canal geometry. Furthermore, we discover that the signal variations are also affected by the fine-grained physiological activities. We can therefore further detect the subtle heartbeat from the ear canal reflections. Experiments show that Earmonitor can achieve up to 96.4\% Balanced Accuracy (BAC) and low False Acceptance Rate (FAR) for user identification on a large-scale data of 120 subjects. For heartbeat monitoring, without any training, we propose signal processing schemes to achieve high sensing accuracy even in the most challenging scenarios when the target is walking or running.",11,https://dl.acm.org/doi/10.1145/3569472,Earmonitor: In-ear Motion-resilient Acoustic Sensing Using Commodity Earphones,"Sun, Xue and Xiong, Jie and Feng, Chao and Deng, Wenwen and Wei, Xudong and Fang, Dingyi and Chen, Xiaojiang",Proc. ACM Interact. Mob. Wearable Ubiquitous Technol.,96.40%,"Speaker, Microphone"
Srivastava et al.,2024,Motion-Based,Yes,Custom Device,Research Prototype,No,Yes,SVM,1,One-Time,High,Medium,Medium,High,,,Yes,No,Yes,No,Yes,No,No,Lab/Controlled Room,Yes,"Proof-of-Concept, System Extension, Novel Authentication Technique, User-Centered Design",,"In this paper, we present Jawthenticate, an earable system that authenticates a user using audible or inaudible speech without using a microphone. This system can overcome the shortcomings of traditional voice-based authentication systems like unreliability in noisy conditions and spoofing using microphone-based replay attacks. Jawthenticate derives distinctive speech-related features from the jaw motion and associated facial vibrations. This combination of features makes Jawthenticate resilient to vocal imitations as well as camera-based spoofing. We use these features to train a two-class SVM classifier for each user. Our system is invariant to the content and language of speech. In a study conducted with 41 subjects, who speak different native languages, Jawthenticate achieves a Balanced Accuracy (BAC) of 97.07\%, True Positive Rate (TPR) of 97.75\%, and True Negative Rate (TNR) of 96.4\% with just 3 seconds of speech data.",12,https://dl.acm.org/doi/10.1145/3625687.3625813,Jawthenticate: Microphone-free Speech-based Authentication using Jaw Motion and Facial Vibrations,"Srivastava, Tanmay and Pan, Shijia and Nguyen, Phuc and Jain, Shubham",ACM Conference on Embedded Networked Sensor Systems (SenSys),97.07%,"Accelerometer, Gyroscope"
Mizuho et al.,2024,Shape-Based,Yes,Custom Device,Research Prototype,No,No,AAD,1,One-Time,Medium,High,Medium,,,,Yes,Yes,Yes,No,No,No,No,Lab/Controlled Room,No,"Proof-of-Concept, Novel Authentication Technique, System Extension",,"Earphones are now used for longer hours than before with the advancement in wireless technology and miniaturization. In addition, the application of earphones has become more diverse, and opportunities to access highly confidential information through them have increased. We propose a method comprising a hearable device equipped with a small camera for user authentication from ear images. This method improves the security of the hearable device. Ear images are first captured with the camera. The ear regions in the images are then extracted using a mask region-based convolutional neural network. Finally, the user is identified using histograms of oriented gradient features and a support vector machine (SVM). Our method was able to identify 18 participants with an accuracy of 84.1\%. Users are authenticated through unsupervised anomaly detection using an autoencoder with an error rate of 8.36\%. This method facilitates hands- and eye-free operations without requiring any explicit authentication action by the user.",13,https://dl.acm.org/doi/10.1145/3652920.3653059,EarAuthCam: Personal Identification and Authentication Method Using Ear Images Acquired with a Camera-Equipped Hearable Device,"Mizuho, Yurina and Kawasaki, Yohei and Amesaka, Takashi and Sugiura, Yuta",Proceedings of the Augmented Humans International Conference,91.64%,Camera
Liu et al.,2023,Others,Yes,Earbud,Research Prototype,No,Yes,DL-Cls,1,Continuous,High,High,Medium,High,,Short,Yes,No,Yes,Yes,No,Yes,No,Lab/Controlled Room,Yes,"System Extension, Proof-of-Concept, Novel Authentication Technique, Performance Optimization, User-Centered Design","Ear, Authentication, biometrics, Headphones, Biological system modeling, Biometrics (access control), continuous authentication, inertial measurement units, Standards, User verification, Vibrations","Biometric plays an important role in user authentication. However, the most widely used biometrics, such as facial feature and fingerprint, are easy to capture or record, and thus vulnerable to spoofing attacks. On the contrary, intracorporal biometrics, such as electrocardiography and electroencephalography, are hard to collect, and hence more secure for authentication. Unfortunately, adopting them is not user-friendly due to their complicated collection methods or inconvenient constraints on users. In this paper, we propose a novel biometric-based authentication system, namely MandiPass. MandiPass leverages inertial measurement units, which have been widely deployed in portable devices, to collect intracorporal biometric from the vibration of user's mandible. It provides not only one-time verification function but also continuous authentication function. Both the two functions are secure and user-friendly. We theoretically validate the feasibility of MandiPass and develop a series of deep learning techniques for effective biometric extraction. We also utilize a Gaussian matrix to defend against replay attacks. Extensive experiment results with 34 volunteers show that MandiPass can achieve low equal error rate, even under various harsh environments.",14,https://ieeexplore.ieee.org/abstract/document/9841001,Secure User Verification and Continuous Authentication via Earphone IMU,"Liu, Jianwei and Song, Wenfan and Shen, Leming and Han, Jinsong and Ren, Kui",IEEE Transactions on Mobile Computing,98.72%,"Accelerometer, Gyroscope"
Liu et al.,2025,Motion-Based,Yes,Earbud,Commercial,No,Yes,DL-Cls,1,Continuous,High,Medium,High,High,Medium,Short,Yes,No,Yes,Yes,No,Yes,No,"Lab/Controlled Room, Mall, Park, Stadium, Roadside, Parlor",Yes,"Proof-of-Concept, Novel Authentication Technique, System Extension","Ear, Authentication, Biometrics, Transfer functions, Headphones, user authentication, Sensors, Microphones, Acoustics, Microelectromechanical systems, Mobile computing, earables, head gestures, Neck, out-ear micophones","Ear-worn devices (earables) are increasingly central to smart system interactions involving privacy-sensitive data, yet secure user authentication on these devices remains a challenge. Existing methods often depend on auxiliary sensors like in-ear microphones or accelerometers, which are absent in many commercial earables. This paper introduces a novel biometric approach leveraging natural head gestures. We observe that head gestures generate unique air friction patterns detectable by out-ear microphones, producing sonic signatures shaped by the head and neck's musculoskeletal dynamics. These signatures serve as a robust basis for earable authentication. We propose HMPrint, a system that captures air-friction-induced sonic effects (AFiSe) from head gestures via outear microphones for authentication. HMPrint incorporates advanced spectral analysis, synthetic data generation using variational autoencoders, and a contrastive continual learning framework to enhance robustness against inconsistent wearing postures, varied movement patterns, and environmental noise. A proof-of-concept prototype was tested with 30 participants and 15 commercial earable models across diverse conditions. Results show that HMPrint achieves high authentication accuracy (97.49\% recall), a low FAR (2.34\%), and strong resistance to spoofing (98\% success rate).",15,https://ieeexplore.ieee.org/document/11219195,Decoding Air Friction Rhythms: Enabling User Identification with Out-Ear Microphones in COTS Earphones,"Liu, Daibo and Lu, Hang and Qi, Xiaomeng and Rong, Huigui and Chen, Haowen and Jiang, Hongbo",IEEE Transactions on Mobile Computing,> 96.25%,Microphone
Li et al.,2023,Others,Yes,Earbud,Research Prototype,No,No,SVM,1,Continuous,Medium,High,,,,,Yes,No,No,No,No,No,No,Lab/Controlled Room,No,"Proof-of-Concept, Novel Authentication Technique, System Extension",,"In the rapidly expanding universe of smart IoT, earable devices, such as smart headphones and hearing aids, are gaining remarkable popularity. As we anticipate a future where a myriad of sophisticated applications—interaction, communication, health monitoring, and fitness guidance—migrate to earable devices handling sensitive and private information, the need for a robust, continuous authentication system for these devices becomes more critical than ever. Yet, current earable-based solutions, which rely predominantly on audio signals, are marred by inherent drawbacks such as privacy concerns, high costs, and noise interference. In light of these challenges, we investigate the potential of leveraging photoplethysmogram (PPG) sensors, which monitor key cardiac activities and reflect the uniqueness of an individual’s cardiac system, for earable authentication. Our study presents EarPass, an innovative ear-worn system that introduces a novel pipeline for the extraction and classification of in-ear PPG features to enable continuous user authentication. Initially, we preprocess the input in-ear PPG signals to facilitate this feature extraction and classification. Additionally, we present a method for detecting and eliminating motion artifacts (MAs) caused by head motions. Through extensive experiments, we not only demonstrate the effectiveness of our proposed design, but also establish the feasibility of using in-ear PPG for continuous user authentication—a significant stride towards more secure and efficient earable technologies.",16,https://dl.acm.org/doi/10.1145/3594739.3610670,EarPass: Continuous User Authentication with In-ear PPG,"Li, Jiao and Liu, Yang and Li, Zhenjiang and Zhang, Jin",Adjunct Proceedings of the 2023 ACM International Joint Conference on Pervasive and Ubiquitous Computing & the 2023 ACM International Symposium on Wearable Computing,94.00%,PPG
Li et al.,2023,Shape-Based,Yes,Custom Device,Research Prototype,No,Yes,DML,1,Continuous,High,Medium,Medium,High,Short,Short,Yes,Yes,Yes,Yes,No,Yes,No,Lab/Controlled Room,Yes,"System Extension, Proof-of-Concept, Novel Authentication Technique",,"With the advancement of AI-powered personal voice assistants, speaker authentication via earbuds has become increasingly vital, serving as a critical interface between users and mobile devices. However, existing audio-based speaker authentication methods fail to defend against voice spoofing threats such as replay and deep-fake attacks. To counteract these risks, we introduce PiezoBud, a pioneering multi-modal user authentication system that is truly practical and lightweight for earbuds. PiezoBud uses miniature piezoelectric sensors to detect micro-vibrations on the skin, extracting user-specific biometric data to authenticate legitimate access on the local smartphone and protect against malicious attacks. Our exploratory study, involving 85 participants, demonstrates the effectiveness of PiezoBud in various everyday scenarios, including ambient noise, body movement, and in-ear media playing. Using only 15 seconds of enrollment data, PiezoBud achieves an Equal Error Rate (EER) of 1.05\% and attain a mean authentication latency of 0.06 seconds on mobile devices. We also evaluate PiezoBud's effectiveness in countering challenging adaptive attack scenarios and its overall performance in various real-world situations. Our evaluation highlights that PiezoBud stands out as a practical, resilient, responsive, and secure option for earbuds users.",17,https://dl.acm.org/doi/10.1145/3666025.3699358,PiezoBud: A Piezo-Aided Secure Earbud with Practical Speaker Authentication,"Li, Gen and Zeng, Huaili and Guo, Hanqing and Ren, Yidong and Dixon, Aiden and Cao, Zhichao and Li, Tianxing",ACM Conference on Embedded Networked Sensor Systems (SenSys),≈ 98.95%,"Piezoelectric Sensor, Microphone, Bluetooth"
Kawasaki and Sugiura,2023,Shape-Based,Yes,Custom Device,Research Prototype,No,No,SDA,1,One-Time,High,High,,,,,Yes,No,No,No,No,No,No,Lab/Controlled Room,No,"Novel Authentication Technique, User-Centered Design, Proof-of-Concept, System Extension","Authentication, Feature extraction, Acoustic measurements, Wireless communication, Wireless sensor networks, Acoustics, Active acoustic sensing, authentication, identification, White noise","In recent years, wireless devices have become smaller and more portable. In addition, it is thought that personal identification and authentication will be necessary when they are used as independent terminals similar to smartphones. In this study, we focus on a neck-mounted earphone and propose personal identification and authentication using the acoustic characteristics of the clavicle, taking advantage of the fact that the clavicle touches the device when it is worn. Active acoustic sensing was used to measure the acoustic characteristics of the clavicle and extract its acoustic features. The accuracy was 98.8\%, and the EER was 4.0\% in five persons.",18,https://ieeexplore.ieee.org/document/10354211/similar,Identification and Authentication using Clavicles,"Kawasaki, Yohei and Sugiura, Yuta",Annual Conference of the Society of Instrument and Control Engineers (SICE),96.00%,"Piezoelectric Sensor, Speaker"
Huang et al.,2025,Shape-Based,Yes,Earbud,Research Prototype,No,Yes,DML,1,One-Time,High,Medium,,High,,,Yes,No,Yes,No,No,No,No,Lab/Controlled Room,Yes,"Proof-of-Concept, System Extension, Performance Optimization, Novel Authentication Technique","Ear, Authentication, Training, Vibrations, Security, User authentication, Acoustics, Bones, metaverse, Motion detection, multi-factor authentication, security and privacy, Solids, Spectrogram","Recent advances in speech and language processing have led to the rise of smart voice services like Alexa, Google Home, and Siri. However, these advancements also increase security risks due to sophisticated voice domain attacks. Instead of relying on acoustic clues to detect replayed or synthesized speech, we utilize microphones and motion sensors in head-wearable devices to authorize legitimate users through bone-conducted vibrations, enabling multi-factor authentication (MFA) for spoken voice. Our proposed two-stage authentication system, AirBone, captures air and bone conduction (AirBone) signals and exploits two authentication factors sequentially. The first stage, called temporal consistency scoring (TCS), employs signal processing to verify the recorded AC and BC signals are concurrent and originate from the same vocalization process. Statistical tools are employed to distinguish legitimate attempts against false-triggering or acoustic attacks. The second stage leverages deep learning to verify the user’s unique bone conduction patterns in the vibration domain. Specifically, we enhance the robustness through data augmentation with constant-Q transform and adversarial training, improving the model’s ability to detect impersonation and machine-induced vibrations. Thanks to these designs, AirBone authentication offers enhanced security via MFA with no extra cost of user effort. In addition, our experimental results demonstrate a 96.3\%96.3\% overall accuracy, robustness against AirBone noise and room impulse responses, and 0.3\%0.3\% Equal Error Rate (EER) against acoustic and cross-domain attacks.",19,https://ieeexplore.ieee.org/document/10947223,Eve Said Yes: AirBone Authentication for Head-Wearable Smart Voice Assistant,"Huang, Chenpei and Zhong, Hui and Prakash, Pavana and Shi, Dian and Yuan, Xu and Pan, Miao",IEEE Transactions on Mobile Computing,≈96.3%,"Microphone, Bone Conduction Microphone"
Hu et al.,2023,Shape-Based,Yes,Earbud,Research Prototype,No,No,MBA,1,One-Time,High,High,Medium,,,,Yes,No,Yes,Yes,Yes,No,No,Lab/Controlled Room,No,"System Extension, Performance Optimization",,"The widespread adoption of wireless earbuds has advanced the developments in earable-based sensing in various domains like entertainment, human-computer interaction, and health monitoring. Recently, researchers have shown an increased interest in user authentication using earables. Despite the successes witnessed in acoustic probing and speech based authentication systems, this paper proposed a lightweight and non-invasive ambient sound based user authentication scheme. It employs the difference between the in-ear and out-ear sounds to estimate the individual-specific occluded ear canal transfer function (OECTF). Specifically, the \{out-ear, in-ear\} scaling factors at different frequency bands are captured via linear regression and treated as the OECTF for user authentication. The proposed system is validated using 12 subjects under six different noisy environments and achieves a Balanced Error Rate (BER) of 4.84\%. The particularly lightweight system can be easily deployed in earbuds and paves the pathway for more personalized services.",20,https://dl.acm.org/doi/10.1145/3572864.3580332,Lightweight and Non-Invasive User Authentication on Earables,"Hu, Changshuo and Ma, Xiao and Ma, Dong and Dang, Ting",Proceedings of the International Workshop on Mobile Computing Systems and Applications,95.16%,Microphone
Hu et al.,2024,Shape-Based,Yes,Earbud,Research Prototype,No,No,MBA,1,One-Time,High,High,High,Medium,Short,Short,Yes,No,Yes,Yes,Yes,Yes,No,"Lab/Controlled Room, Café, Public Transit, Car, Daily Life",Yes,"Proof-of-Concept, System Extension, Performance Optimization",,"The increasing use of earbuds in applications like immersive entertainment and health monitoring necessitates effective implicit user authentication systems to preserve the privacy of sensitive data and provide personalized experiences. Existing approaches, which leverage physiological cues (e.g., jawbone structure) and behavioral cues (e.g., gait), face challenges such as limited usability, high delay and energy overhead, and significant computational demands, rendering them impractical for resource-constrained earbuds. To address these issues, we present LR-Auth, a lightweight, user-friendly implicit authentication system designed for various earbud usage scenarios. LR-Auth utilizes the modulation of sound frequencies by the user's unique occluded ear canal, generating user-specific templates through linear correlations between two audio streams instead of complex machine-learning models. Our prototype, evaluated with 30 subjects under diverse conditions, demonstrates over 99\% balanced accuracy with five 100 ms audio segments, even in noisy environments and during music playback. LR-Auth significantly reduces system overhead, achieving a 20 × to 404 × decrease in latency and a 24 × to 410 × decrease in energy consumption compared to existing methods. These results highlight LR-Auth's potential for accurate, robust, and efficient user authentication on resource-constrained earbuds.",21,https://dl.acm.org/doi/10.1145/3699793,LR-Auth: Towards Practical Implementation of Implicit User Authentication on Earbuds,"Hu, Changshuo and Ma, Xiao and Huang, Xinger and Shen, Yiran and Ma, Dong",Proceedings of the National Academy of Sciences (PNAS),99.80%,"Microphone, Speaker"
He et al.,2024,Shape-Based,Yes,Headphone,Research Prototype,No,No,DML,1,One-Time,High,High,High,Medium,Short,Short,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Lab/Controlled Room, Café, Supermarket, Living Room, Roadside",Yes,"Proof-of-Concept, Novel Authentication Technique, System Extension",,"Earables, or ear wearables, are increasingly being used for a variety of personal applications, prompting the development of authentication schemes to safeguard user privacy. Existing authentications are designed for traditional in-ear earphones, relying on a closed ear canal environment, which is not suited for bone conduction earphones that feature an open-ear design. In this paper, we propose HCR-Auth, a new authentication approach for bone conduction earphones based on head biometrics. It employs a modulated chirp signal, emitted by the earphone speaker, to actively sense the user's head structure, and captures the response through the earphone's accelerometer. It operates implicitly, eliminating additional efforts from the user to perform authentication. Through extensive experiments involving 60 subjects, we determine that HCR-Auth achieves a commendable balanced accuracy of 96.55\% using only 10 registration samples, proving its efficacy and resilience against potential threats. Our dataset and source codes are available at https://anonymous.4open.science/r/HCR-Auth-D43B/.",22,https://dl.acm.org/doi/10.1145/3699780,HCR-Auth: Reliable Bone Conduction Earphone Authentication with Head Contact Response,"He, Zhixiang and Chen, Jing and Wu, Cong and He, Kun and Du, Ruiying and Jia, Ju and Gu, Yangyang and Sun, Xiping",Proc. ACM Interact. Mob. Wearable Ubiquitous Technol.,96.55%,"Bone Conduction Microphone, Accelerometer"
He et al.,2025,Shape-Based,Yes,Headphone,Research Prototype,No,No,SVM,1,One-Time,High,High,Medium,High,,,Yes,Yes,Yes,No,Yes,Yes,Yes,Lab/Controlled Room,Yes,"Proof-of-Concept, Novel Authentication Technique, System Extension, Performance Optimization","Ear, Authentication, biometrics, Biometrics, Sensors, Microphones, Acoustics, Mobile computing, acoustic sensing, Geometry, Noise, Reflection, Wearable authentication","Earables (ear wearables) are rapidly emerging as a new platform encompassing a diverse of personal applications, prompting the development of authentication schemes to protect user privacy. Existing earable authentication methods are all specifically designed for air-conduction earphones, which are not suited for bone conduction earphones (BCEs) that rely on bone conduction mechanisms. In this paper, we propose HeadSonic, a usable BCE authentication system based on the unique head-conducted sounds, which can be acquired when the user wears the BCE device. Specifically, the system emits a millisecond-level sound to initiate the authentication session. The signal captured by the BCE microphone is propagated through the user's head, which is unique in density, geometry, and bone-tissue ratio. It operates implicitly, while maintaining robustness across different behaviors. Extensive experiments involving 60 subjects demonstrate that HeadSonic achieves a commendable balanced accuracy of 96.59\%, proving its efficacy and resilience against replay and synthesis attacks. Our dataset and source codes are available at https://anonymous.4open.science/r/HeadSonic-1CE4.",23,https://ieeexplore.ieee.org/document/10925832,HeadSonic: Usable Bone Conduction Earphone Authentication via Head-Conducted Sounds,"He, Zhixiang and Chen, Jing and He, Kun and Gu, Yangyang and Deng, Qiyi and Zhang, Zijian and Du, Ruiying and Zhao, Qingchuan and Wu, Cong",IEEE Transactions on Mobile Computing,96.59%,"Bone Conduction Microphone, Bone Conduction Speaker"
Han et al.,2024,Shape-Based,Yes,Earbud,Research Prototype,No,No,DML,1,One-Time,High,High,High,High,,Short,Yes,No,Yes,Yes,Yes,Yes,Yes,"Lab/Controlled Room, Roadside, Office, Canteen",Yes,"Proof-of-Concept, Novel Authentication Technique, System Extension, User-Centered Design","Ear, Irrigation, Authentication, Feature extraction, Biometrics, Headphones, Microphones, Breathing biometrics, earable sensing, in-ear breathing sounds, passive authentication","As earable devices have become indispensable smart devices in people's lives, earable-based user authentication has gradually attracted widespread attention. In our work, we explore novel in-ear breathing biometrics and design an earable-based authentication approach, named BreathSign, which takes advantage of inward-facing microphones on commercial earphones to capture in-ear breathing sounds for passive authentication. To expand the differences among individuals, we model the process of breathing sound generation, transmission, and reception. Based on that, we derive hard-to-forge physical-level features from in-ear breathing sounds as biometrics. Furthermore, to eliminate the impact of breathing behavioral patterns (e.g., duration and intensity), we design a triple network model to extract breathing behavior-independent features and design an online user template update mechanism for long-term authentication. Extensive experiments with 35 healthy subjects have been conducted to evaluate the performance of BreathSign. The results show that our system achieves the average authentication accuracy of 93.15\%, 98.06\%, and 99.74\% via one, five, and nine breathing cycles, respectively. Regarding the resistance of spoofing attacks, BreathSign could achieve an average EER of approximately 3.5\%. Compared with other behavior-based authentication schemes, BreathSign does not require users to perform complex movements or postures but only effortless breathing for authentication and can be easily implemented on commercial earphones with high usability and enhanced security.",24,https://ieeexplore.ieee.org/abstract/document/10663927,Exploring Earable-Based Passive User Authentication via Interpretable In-Ear Breathing Biometrics,"Han, Feiyu and Yang, Panlong and Feng, Yuanhao and Du, Haohua and Li, Xiang-Yang",IEEE Transactions on Mobile Computing,98.06%,Microphone
Gao et al.,2025,Shape-Based,Yes,Earbud,Commercial,No,No,DL-Cls,1,Continuous,High,High,High,High,Medium,Short,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Office, Bedroom, Roadside, Lab/Controlled Room, Mall",Yes,"Proof-of-Concept, Novel Authentication Technique, System Extension, Performance Optimization","Ear, Authentication, Biometrics, Headphones, Internet of Things, Sensors, Wireless sensor networks, Acoustic Sensing, Microphones, Acoustics, Continuous User Authentication, Earable Sensing, Ultrasonic imaging","Continuous authentication is increasingly critical for cyber security. However, existing approaches are time-consuming due to their simplistic signal modulation and low efficiency in feature extraction. In this paper, we propose a continuous authentication technique, OnePiece. OnePiece is free from the requirement of in-ear microphones, which are necessary for existing earphone authentication systems. It exploits out-ear microphones for biometrics extraction, which are ubiquitous on off-the-shelf earphones. We analyze the acoustic response model of ears towards out-ear microphones via the air, which is different from that towards in-ear microphones. A frequency-varying ultrasonic modulation scheme is proposed to characterize in-depth ear biometrics in user-friendly, error-free, and time-efficient ways. Therefore, OnePiece enables quick-pass authentication once users wear the earphones, followed by continuous authentication covering the whole course. Moreover, we propose a wake-up mechanism to reduce the consumed power, which addresses the key power consumption issue in ultrasonic sensing techniques. Particularly, OnePiece can be smoothly deployed on off-the-shelf wired and wireless earphones. It performs good cross-device performance in which users just register only once. Extensive evaluations are conducted to validate its effectiveness under real-world scenarios.",25,https://ieeexplore.ieee.org/document/11153058,Quick-pass Continuous Authentication with Real-time Biometrics Extraction on COTS Earphones Using Out-ear Microphones,"Gao, Ming and Chen, Jiatong and Tong, Xin and Ye, Ruitong and Chen, Yike and Xiao, Fu and Han, Jinsong",IEEE Transactions on Mobile Computing,≈97.4%,"Microphone, Speaker"
Duan et al.,2024,Others,Yes,Headphone,Commercial,No,No,DL-Cls,1,One-Time,High,High,Medium,High,,,Yes,Yes,Yes,No,Yes,No,No,Lab/Controlled Room,Yes,"Proof-of-Concept, Novel Authentication Technique, System Extension",,"In this paper, we proposed F2Key, the first earable physical security system based on commercial off-the-shelf headphones. F2Key enables impactful applications, such as enhancing voiceprint-based authentication systems, reliable voice assistants, audio deepfake defense, and the legal validity of artifacts. The key idea of F2Key is to establish a stable acoustic sensing field across the user's face and embed the user's facial structures and articulatory habits into a user-specific generative model that serves as a private key. The private key can decrypt the Channel Impulse Response (CIR) profiles provided by the acoustic sensing field into an inferred spectrogram that can match the real one calculated from the corresponding speech, provided that the user's CIR-spectrogram mapping relationship is consistent with the one embedded in the generative model. Extensive experiments demonstrate that F2Key resists 99.9\%, 96.4\%, and 95.3\% of speech replay attacks, mimicry attacks, and hybrid attacks, respectively. We discussed and evaluated F2Key from different perspectives, such as the health consideration and identical twins study, to show the practicality and reliability.",26,https://dl.acm.org/doi/10.1145/3643832.3661860,F2Key: Dynamically Converting Your Face into a Private Key Based on COTS Headphones for Reliable Voice Interaction,"Duan, Di and Sun, Zehua and Ni, Tao and Li, Shuaicheng and Jia, Xiaohua and Xu, Weitao and Li, Tianxing","Proceedings of the International Conference on Mobile Systems, Applications and Services",97.30%,"Microphone, Speaker"
Choi et al.,2023,Others,Yes,Custom Device,Research Prototype,No,Yes,DL-Cls,1,One-Time,High,Medium,Medium,,,,Yes,Yes,Yes,No,No,Yes,No,Lab/Controlled Room,No,"Novel Authentication Technique, Proof-of-Concept, System Extension, User-Centered Design",,"Wearable devices have become indispensable gadgets in people’s daily lives nowadays; especially wireless earphones have experienced unprecedented growth in recent years, which lead to increasing interest and explorations of user authentication techniques. Conventional user authentication methods embedded in wireless earphones that use microphones or other modalities are vulnerable to environmental factors, such as loud noises or occlusions. To address this limitation, we introduce EarPPG, a new biometric modality that takes advantage of the unique in-ear photoplethysmography (PPG) signals, altered by a user’s unique speaking behaviors. When the user is speaking, muscle movements cause changes in the blood vessel geometry, inducing unique PPG signal variations. As speaking behaviors and PPG signals are unique, the EarPPG combines both biometric traits and presents a secure and obscure authentication solution. The system first detects and segments EarPPG signals and proceeds to extract effective features to construct a user authentication model with the 1D ReGRU network. We conducted comprehensive real-world evaluations with 25 human participants and achieved 94.84\% accuracy, 0.95 precision, recall, and f1-score, respectively. Moreover, considering the practical implications, we conducted several extensive in-the-wild experiments, including body motions, occlusions, lighting, and permanence. Overall outcomes of this study possess the potential to be embedded in future smart earable devices.",27,https://dl.acm.org/doi/10.1145/3581641.3584070,EarPPG: Securing Your Identity with Your Ears,"Choi, Seokmin and Yim, Junghwan and Jin, Yincheng and Gao, Yang and Li, Jiyang and Jin, Zhanpeng",ACM International Conference on {Intelligent User Interfaces (IUI),≈94.84%,"Accelerometer, PPG"
Cao et al.,2025,Others,Yes,Earbud,Commercial,No,No,DL-Cls,1,One-Time,High,High,High,Medium,,,Yes,No,Yes,No,Yes,No,Yes,"Lab/Controlled Room, Daily Life",Yes,"System Extension, Performance Optimization, Proof-of-Concept, Novel Authentication Technique","Ear, Authentication, Headphones, Heart, Biometrics (access control), ANC earphones, Bones, in-ear microphones, neural network, Passive authentication, Phonocardiography","Biometrics has been increasingly integrated into wearables for enhanced data security in recent years. Meanwhile, wearable popularity offers a unique chance to capture novel biometrics via embedded sensors. In this article, we study new intracorporal biometrics combining the uniqueness of heart motion, bone conduction, and body asymmetry. Specifically, we introduce HeartPrint, a passive yet secure user authentication system exploiting the bone-conducted heart sounds captured by (widely available) dual in-ear microphones (IEMs). To eliminate interference, we devise a novel method combining modified non-negative matrix factorization and adaptive filtering. This extracts clean heart sounds while addressing interference of body sounds and audio produced by the earphones. We further explore the uniqueness of IEM-recorded heart sounds in three aspects to extract a novel biometric representation, based on which HeartPrint leverages a convolutional neural model equipped with a continual learning method to achieve accurate authentication under drifting body conditions. Furthermore, user-friendly registration and energy-effective authentication are facilitated by a data augmentation method using transformer-based GAN and an authentication interval control method. Extensive experiments with 45 participants confirm that HeartPrint can achieve 1.6\% FAR and 1.8\% FRR, while effectively coping with major attacks, complicated interference, and hardware diversity, while exhibiting robustness in real-world environments.",28,https://ieeexplore.ieee.org/document/10604926,Enabling Passive User Authentication via Heart Sounds on In-Ear Microphones,"Cao, Yetong and Cai, Chao and Li, Fan and Chen, Zhe and Luo, Jun",IEEE Transactions on Dependable and Secure Computing,98.30%,Microphone
