Main Author,Year,Type of Approach,No Additional Sensing,Earphone Type,Development Stage,On-Device Processing,Active Interaction,Learning Method,Number of Authentication Stages,Continuous/ One-Time,Accuracy (BAC),Discreetness of Authentication,Robustness of Authentication,Resistance against Attacks,Registration Time,Authentication Time,Accuracy Evaluations,Usability Evaluations,Feasibility Evaluations,Responsiveness Evaluations,Noise Level Evaluations,Moving State Evaluations,Wearing Angle Evaluations,Evaluations of Different Settings,Threat Models Evaluations,Motivations,Keywords,Abstract,ID,Study Link,Title,Authors,Venue,BAC,Sensors
Wang et al.,2021,Shape-Based,Yes,Earbud,Research Prototype,No,No,Boosting,1,Continuous,Medium,High,High,High,N/A,N/A,Yes,No,Yes,No,No,Yes,Yes,"Living Room, Park, Car, Office, Lab/Controlled Room, Supermarket, Classroom",Yes,"Proof-of-Concept, Novel Authentication Technique, System Extension, User-Centered Design",N/A,"Biometric-based authentication is gaining increasing attention for wearables and mobile applications. Meanwhile, the growing adoption of sensors in wearables also provides opportunities to capture novel wearable biometrics. In this work, we propose EarDynamic, an ear canal deformation based user authentication using in-ear wearables. EarDynamic provides continuous and passive user authentication and is transparent to users. It leverages ear canal deformation that combines the unique static geometry and dynamic motions of the ear canal when the user is speaking for authentication. It utilizes an acoustic sensing approach to capture the ear canal deformation with the built-in microphone and speaker of the in-ear wearable. Specifically, it first emits well-designed inaudible beep signals and records the reflected signals from the ear canal. It then analyzes the reflected signals and extracts fine-grained acoustic features that correspond to the ear canal deformation for user authentication. Our extensive experimental evaluation shows that EarDynamic can achieve a recall of 97.38\% and an F1 score of 96.84\%. Results also show that our system works well under different noisy environments with various daily activities.",31,https://dl.acm.org/doi/10.1145/3448098,EarDynamic: An Ear Canal Deformation Based Continuous User Authentication Using In-Ear Wearables,"Wang, Zi and Tan, Sheng and Zhang, Linghan and Ren, Yili and Wang, Zhi and Yang, Jie",Proc. ACM Interact. Mob. Wearable Ubiquitous Technol.,≈93.04%,"Microphone, Speaker, Accelerometer, Gyroscope"
Liu et al.,2021,Shape-Based,Yes,Headphone,Research Prototype,No,Yes,DL-Cls,1,One-Time,High,Medium,Medium,High,N/A,Short,Yes,No,Yes,Yes,No,Yes,No,Lab/Controlled Room,Yes,"Proof-of-Concept, Novel Authentication Technique, Performance Optimization, User-Centered Design","Authentication, Biometrics, Headphones, Deep learning, Biometrics (access control), Vibrations, User Authentication, Deep Learning, Error analysis, Inertial Measurement Unit, Measurement units","Biometric plays an important role in user authentication. However, the most widely used biometrics, such as facial feature and fingerprint, are easy to capture or record, and thus vulnerable to spoofing attacks. On the contrary, intracorporal biometrics, such as electrocardiography and electroencephalography, are hard to collect, and hence more secure for authentication. Unfortunately, adopting them is not user-friendly due to their complicated collection methods and inconvenient constraints on users. In this paper, we propose a novel biometric-based authentication system, namely MandiPass. MandiPass leverages inertial measurement units (IMU), which have been widely deployed in portable devices, to collect intracorporal biometric from the vibration of user's mandible. The authentication merely requires user to voice a short ‘EMM’ for generating the vibration. In this way, MandiPass enables a secure and user-friendly biometric-based authentication. We theoretically validate the feasibility of MandiPass and develop a two-branch deep neural network for effective biometric extraction. We also utilize a Gaussian matrix to defend against replay attacks. Extensive experiment results with 34 volunteers show that MandiPass can achieve an equal error rate of 1.28\%, even under various harsh environments.",35,https://ieeexplore.ieee.org/abstract/document/9546415,MandiPass: Secure and Usable User Authentication via Earphone IMU,"Liu, Jianwei and Song, Wenfan and Shen, Leming and Han, Jinsong and Xu, Xian and Ren, Kui",IEEE International Conference on Distributed Computing Systems (ICDCS),98.72%,"Accelerometer, Gyroscope"
Gao et al.,2021,Shape-Based,Yes,Earbud,Research Prototype,No,No,"GMM, DT",1,Continuous,High,High,High,High,N/A,Short,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Lab/Controlled Room, Café, Mall, Roadside",Yes,"Proof-of-Concept, Novel Authentication Technique, System Extension, User-Centered Design",N/A,"With the rapid growth of wearable computing and increasing demand for mobile authentication scenarios, voiceprint-based authentication has become one of the prevalent technologies and has already presented tremendous potentials to the public. However, it is vulnerable to voice spoofing attacks (e.g., replay attacks and synthetic voice attacks). To address this threat, we propose a new biometric authentication approach, named EarPrint, which aims to extend voiceprint and build a hidden and secure user authentication scheme on earphones. EarPrint builds on the speaking-induced body sound transmission from the throat to the ear canal, i.e., different users will have different body sound conduction patterns on both sides of ears. As the first exploratory study, extensive experiments on 23 subjects show the EarPrint is robust against ambient noises and body motions. EarPrint achieves an Equal Error Rate (EER) of 3.64\% with 75 seconds enrollment data. We also evaluate the resilience of EarPrint against replay attacks. A major contribution of EarPrint is that it leverages two-level uniqueness, including the body sound conduction from the throat to the ear canal and the body asymmetry between the left and the right ears, taking advantage of earphones' paring form-factor. Compared with other mobile and wearable biometric modalities, EarPrint is a low-cost, accurate, and secure authentication solution for earphone users.",37,https://dl.acm.org/doi/10.1145/3448113,Voice In Ear: Spoofing-Resistant and Passphrase-Independent Body Sound Authentication,"Gao, Yang and Jin, Yincheng and Chauhan, Jagmohan and Choi, Seokmin and Li, Jiyang and Jin, Zhanpeng",Proc. ACM Interact. Mob. Wearable Ubiquitous Technol.,96.36%,Microphone
Ferlini et al.,2021,Motion-Based,Yes,Earbud,Research Prototype,No,No,SVM,1,Continuous,High,High,Medium,N/A,N/A,Short,Yes,No,Yes,Yes,No,No,No,Lab/Controlled Room,No,"Novel Authentication Technique, System Extension, Performance Optimization",N/A,"Human gait is a widely used biometric trait for user identification and recognition. Given the wide-spreading, steady diffusion of ear-worn wearables (Earables) as the new frontier of wearable devices, we investigate the feasibility of earable-based gait identification. Specifically, we look at gait-based identification from the sounds induced by walking and propagated through the musculoskeletal system in the body. Our system, EarGate, leverages an in-ear facing microphone which exploits the earable's occlusion effect to reliably detect the user's gait from inside the ear canal, without impairing the general usage of earphones. With data collected from 31 subjects, we show that EarGate achieves up to 97.26\% Balanced Accuracy (BAC) with very low False Acceptance Rate (FAR) and False Rejection Rate (FRR) of 3.23\% and 2.25\%, respectively. Further, our measurement of power consumption and latency investigates how this gait identification model could live both as a stand-alone or cloud-coupled earable system.",38,https://dl.acm.org/doi/10.1145/3447993.3483240,EarGate: gait-based user identification with in-ear microphones,"Ferlini, Andrea and Ma, Dong and Harle, Robert and Mascolo, Cecilia",ACM International Conference on Mobile Computing and Networking (MobiCom),97.26%,"Microphone, Speaker"
Fan et al.,2021,Shape-Based,Yes,Headphone,Commercial,No,No,SVM,1,One-Time,High,High,Medium,N/A,N/A,N/A,Yes,No,Yes,No,No,Yes,No,Lab/Controlled Room,No,"Proof-of-Concept, Novel Authentication Technique, System Extension, Performance Optimization",N/A,"Headphones continue to become more intelligent as new functions (e.g., touch-based gesture control) appear. These functions usually rely on auxiliary sensors (e.g., accelerometer and gyroscope) that are available in smart headphones. However, for those headphones that do not have such sensors, supporting these functions becomes a daunting task. This paper presents HeadFi, a new design paradigm for bringing intelligence to headphones. Instead of adding auxiliary sensors into headphones, HeadFi turns the pair of drivers that are readily available inside all headphones into a versatile sensor to enable new applications spanning across mobile health, user-interface, and context-awareness. HeadFi works as a plug-in peripheral connecting the headphones and the pairing device (e.g., a smartphone). The simplicity (can be as simple as only two resistors) and small form factor of this design lend itself to be embedded into the pairing device as an integrated circuit. We envision HeadFi can serve as a vital supplementary solution to existing smart headphone design by directly transforming large amounts of existing ""dumb"" headphones into intelligent ones. We prototype HeadFi on PCB and conduct extensive experiments with 53 volunteers using 54 pairs of non-smart headphones under the institutional review board (IRB) protocols. The results show that HeadFi can achieve 97.2\%--99.5\% accuracy on user identification, 96.8\%--99.2\% accuracy on heart rate monitoring, and 97.7\%--99.3\% accuracy on gesture recognition.",39,https://dl.acm.org/doi/10.1145/3447993.3448624,HeadFi: bringing intelligence to all headphones,"Fan, Xiaoran and Shangguan, Longfei and Rupavatharam, Siddharth and Zhang, Yanyong and Xiong, Jie and Ma, Yunfei and Howard, Richard",ACM International Conference on Mobile Computing and Networking (MobiCom),95%,Speaker
Wang et al.,2022,Others,Yes,Earbud,Research Prototype,No,Yes,DL-Cls,1,One-Time,High,High,High,High,N/A,N/A,Yes,Yes,Yes,No,No,Yes,No,"Lab/Controlled Room, Living Room, Park, Car, Supermarket",Yes,"Proof-of-Concept, Novel Authentication Technique, User-Centered Design",N/A,"Earables (ear wearables) are rapidly emerging as a new platform encompassing a diverse range of personal applications. The traditional authentication methods hence become less applicable and inconvenient for earables due to their limited input interface. Nevertheless, earables often feature rich around-the-head sensing capability that can be leveraged to capture new types of biometrics. In this work, we propose ToothSonic that leverages the toothprint-induced sonic effect produced by a user performing teeth gestures for earable authentication. In particular, we design representative teeth gestures that can produce effective sonic waves carrying the information of the toothprint. To reliably capture the acoustic toothprint, it leverages the occlusion effect of the ear canal and the inward-facing microphone of the earables. It then extracts multi-level acoustic features to reflect the intrinsic toothprint information for authentication. The key advantages of ToothSonic are that it is suitable for earables and is resistant to various spoofing attacks as the acoustic toothprint is captured via the user's private teeth-ear channel that modulates and encrypts the sonic waves. Our experiment studies with 25 participants show that ToothSonic achieves up to 95\% accuracy with only one of the users' tooth gestures.",9,https://dl.acm.org/doi/10.1145/3534606,ToothSonic: Earable Authentication via Acoustic Toothprint,"Wang, Zi and Ren, Yili and Chen, Yingying and Yang, Jie",Proc. ACM Interact. Mob. Wearable Ubiquitous Technol.,95.50%,Microphone
Bi et al.,2022,Passcode-Based,Yes,Earbud,Research Prototype,No,Yes,NB,1,One-Time,High,Medium,Medium (N=1),High,N/A,N/A,Yes,No,Yes,No,No,Yes,Yes,Lab/Controlled Room,Yes,"Proof-of-Concept,  Novel Authentication Technique, System Extension","Authentication, Accelerometer, Accelerometers, earphone, Euclidean distance, Headphones, Internet of Things, Probability density function, Rhythm, tap gesture, user authentication","The rapid development of the information-centric wireless sensor network (ICWSN) has solved the challenges of information transmission and processing caused by the accelerated growth of wearable devices and the wide deployment of the Internet of Things (IoT) recently. The privacy security is also a growing problem. The existing works use earphones, covert, and user-friendly wearable devices, for user authentication. However, some of the earphone-based authentication solutions need to customize special earphones, which are not universal. Other solutions use microphones and speakers of earphones for authentication, which are susceptible to changes in the auricle’s internal environment, resulting in a decline in performance. To solve this problem, a new authentication solution based on the existing commercial earphones is proposed to authenticate a user by tapping on the earphone rhythmically. This rhythmic tap behavior causes a change of the signal waveform of the built-in accelerometer in the earphone. Based on this, we design a pipeline to authenticate the user’s identity. We first design an event detection algorithm to segment the tap signal accurately. Then, we use the global features calculated based on the event detection algorithm and local features extracted from the convolutional neural network (CNN) for building an authentication model using the Naive Bayes (NB) classifier. Finally, 20 users are recruited to evaluate the experiment and the recognition accuracy reaches 98\%. Moreover, we extend the experiment to prove that it has a good performance against the different attacks and is robust in different scenarios.",29,https://ieeexplore.ieee.org/document/9367286,SmartEar: Rhythm-Based Tap Authentication Using Earphone in Information-Centric Wireless Sensor Network,"Bi, Hongliang and Sun, Yuanyuan and Liu, Jiajia and Cao, Lihao",IEEE International Conference on Parallel and Distributed Systems (ICPADS),≈98%,Accelerometer
Ding et al.,2022,Shape-Based,No,Earbud,Commercial,No,Yes,DL-Cls,1,One-Time,Medium,High,High,High,N/A,N/A,Yes,No,Yes,No,Yes,No,No,"Lab/Controlled Room, Office, Hall",Yes,"Proof-of-Concept, Novel Authentication Technique, Performance Optimization",N/A,"The convenience of laptops brings with it the risk of information leakage, and conventional security systems based on the password or the explicit biometric do little to alleviate this problem. Biometric identification based on anatomical features provides far stronger security; however, a lack of suitable sensors on laptops limits the applicability of this technology. In this paper, we developed a behavior-irrelevant user identification system applicable to laptops with a metal casing. The proposed scheme, referred to as LeakPrint, is based on leakage current, wherein the system uses an earphone to capture current leaking through the body and then transmits the corresponding signal to a server for identification. The user identification is achieved via denoising, dimension reduction, and feature extraction. Compared to other biometric identification methods, the proposed system is less dependent on external hardware and more robust to environmental noise. The experiments in real-world environments demonstrated that LeakPrint can verify user identity with high accuracy (93.6\%), while providing effective defense against replay attacks (96.5\%) and mimicry attacks (90.9\%).",40,https://dl.acm.org/doi/10.1145/3494984,Leakage or Identification: Behavior-irrelevant User Identification Leveraging Leakage Current on Laptops,"Ding, Dian and Yang, Lanqing and Chen, Yi-Chao and Xue, Guangtao",Proc. ACM Interact. Mob. Wearable Ubiquitous Technol.,≈93.6%,Microphone
Zou et al.,2023,Others,Yes,Custom Device,Research Prototype,No,No,HMM,2,Continuous,High,High,Medium,N/A,Medium,Short,Yes,No,Yes,Yes,Yes,Yes,Yes,Lab/Controlled Room,No,"Novel Authentication Technique, System Extension","Ear, Irrigation, Authentication, Headphones, Sensors, deep learning, earable device, Hardware, Microphones, User authentication","User authentication and identification on smart devices has great significance in keeping data privacy and recommending personalized services. With the rising popularity of smart earphones recently, they open up a new world for users to enjoy music individually, but also bring about privacy concerns at the same time. Existing few research works propose positive sensing systems that emit and receive inaudible acoustic signals to authenticate users. However, they share shortcomings of intrusiveness to users, high power consumption, and purely focusing on authentication. Instead, in this paper, we propose a passive sensing system called {\textbackslash}sf EarIDEarID with low-cost customized earphones which attains user authentication and identification at once. It makes use of a embedded microphone to sense body sounds spread out through ear canals and extract ‘fingerprints’ as a novel biometric feature. With self-designed earphones, we design a deep learning-based real-time data processing pipeline and cope with external interference. Extensive experiments under different real-world settings show that {\textbackslash}sf EarIDEarID can achieve a rather low false acceptance rate of 3.4\%3.4\% for user authentication and a high F1F1 score of 95.5\%95.5\% for legitimate user identification.",2,https://ieeexplore.ieee.org/document/9647983,"Beyond Legitimacy, Also With Identity: Your Smart Earphones Know Who You Are Quietly","Zou, Yongpan and Lei, Haibo and Wu, Kaishun",IEEE Transactions on Mobile Computing,95.85%,"Microphone, Speaker, Bluetooth"
Wu & He,2023,Shape-Based,Yes,Earbud,Research Prototype,No,No,AAD,1,One-Time,High,High,N/A,N/A,N/A,N/A,Yes,No,No,No,No,No,No,Lab/Controlled Room,No,Performance Optimization,"Ear, Irrigation, Authentication, Training, Headphones, Computational modeling, Acoustic Sensing, Autoencoder, Ear Canal, Human computer interaction, User Authentication","Nowadays, earphone acts an increasingly vital role in human computer interaction. Throughout this trend, earphone-based user authentication, a new modality of biometric authentication, is winning more attention. Previous research leverage ear canal related features to authenticate users. These methods establish a binary classification model, based on the assumption that the identity information of all invalid users is given. However, they may not be effective when confronting new attackers.In this paper, we propose EarAE, a lightweight auto-encoder to address this problem. The basic idea is to model the authentication as a one-class classification problem, with features of the valid user as the single training class. Specifically, during training, the ear canal features of the valid user are fed into an autoencoder and reconstructed. EarAE learns to minimize the loss function between the input and the reconstructed counterparts. In this way, valid users will have a much lower loss function score than invalid users. Finally, a threshold is set to distinguish between valid/invalid users. Experimental results show that EarAE can achieve an averaged balanced accuracy of over 96\% across 30 subjects. This demonstrates a promising prospect of EarAE to serve as a reliable means of user authentication.",6,https://ieeexplore.ieee.org/document/10233591,EarAE: An Autoencoder based User Authentication using Earphones,"Wu, Yuli and He, Jing",IEEE/CIC International Conference on Communications in China (ICCC),96.60%,"Speaker, Microphone"
